root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.957724,-1.829293,0.469437,0.028576,0.039166,-0.745024,0.665273,-0.319301,0.180388,0.290855,0.486704,-0.241757,0.0,-0.260826,-0.007456,-0.367535,0.407179,-0.343784,0.0,-0.039908,-0.074282,1.815819,0.356632,-0.536394,0.022024,-0.425018,-1.581895,-0.26091,-0.640833,0.281666
0.955713,-1.828108,0.469495,0.028837,0.041001,-0.744647,0.665573,-0.32402,0.186273,0.288568,0.482762,-0.23643,0.0,-0.261333,0.000167,-0.369159,0.399954,-0.341583,0.0,-0.041412,-0.074271,1.813812,0.359362,-0.54012,0.01826,-0.42574,-1.579353,-0.261777,-0.640485,0.279012
0.953749,-1.826863,0.469543,0.029346,0.042963,-0.744284,0.665834,-0.329754,0.192111,0.286353,0.479525,-0.231447,0.0,-0.263007,0.007442,-0.370644,0.393482,-0.339424,0.0,-0.04296,-0.075494,1.811113,0.361868,-0.543927,0.012708,-0.426869,-1.576714,-0.262448,-0.640856,0.277732
0.951851,-1.825584,0.469545,0.03001,0.045041,-0.743782,0.666227,-0.33678,0.197973,0.283826,0.477631,-0.227034,0.0,-0.265686,0.014346,-0.37226,0.387935,-0.337408,0.0,-0.044968,-0.077284,1.808387,0.364519,-0.547713,0.008272,-0.427667,-1.574132,-0.26362,-0.642188,0.276557
0.950015,-1.824301,0.469467,0.030756,0.0472,-0.742834,0.667101,-0.345392,0.203846,0.280489,0.477404,-0.223345,0.0,-0.269229,0.020679,-0.374828,0.383601,-0.335764,0.0,-0.048116,-0.078962,1.806168,0.367168,-0.551193,0.005594,-0.427852,-1.572071,-0.265435,-0.643706,0.276662
0.948277,-1.823049,0.469293,0.031598,0.0493,-0.741696,0.668175,-0.355104,0.209486,0.27662,0.478905,-0.220852,0.0,-0.273499,0.026222,-0.377885,0.380681,-0.334637,0.0,-0.051348,-0.07971,1.804593,0.369197,-0.553696,0.004356,-0.427615,-1.570656,-0.267593,-0.645254,0.277245
0.946685,-1.821855,0.469033,0.032513,0.051272,-0.740615,0.669182,-0.36575,0.214892,0.272703,0.482678,-0.219378,0.0,-0.278272,0.030964,-0.380863,0.379053,-0.334028,0.0,-0.054274,-0.07906,1.803977,0.370526,-0.555849,0.004564,-0.427238,-1.569861,-0.269654,-0.646992,0.278142
0.945187,-1.820723,0.468775,0.03337,0.053196,-0.739813,0.669875,-0.376621,0.220395,0.269106,0.488084,-0.218091,0.0,-0.283321,0.035471,-0.383137,0.378394,-0.33381,0.0,-0.056314,-0.078401,1.803366,0.370968,-0.557414,0.003793,-0.427333,-1.568672,-0.271125,-0.649238,0.279753
0.943728,-1.819663,0.468574,0.034222,0.055023,-0.739033,0.670545,-0.386997,0.225611,0.265837,0.493246,-0.216306,0.0,-0.288425,0.039591,-0.385264,0.378392,-0.33394,0.0,-0.058334,-0.077383,1.802607,0.370952,-0.558187,0.003561,-0.428253,-1.566856,-0.271859,-0.651796,0.282851
0.94238,-1.818723,0.468449,0.035044,0.056638,-0.738494,0.670963,-0.395407,0.230101,0.263479,0.496314,-0.214155,0.0,-0.293111,0.043188,-0.386988,0.378479,-0.334107,0.0,-0.059858,-0.076514,1.801703,0.370803,-0.558527,0.003691,-0.42846,-1.564786,-0.272285,-0.653729,0.28583
0.941116,-1.817966,0.468384,0.035703,0.057954,-0.738311,0.671017,-0.400947,0.233865,0.262047,0.496795,-0.211527,0.0,-0.296902,0.046532,-0.387852,0.378505,-0.334277,0.0,-0.060556,-0.07609,1.801157,0.370636,-0.55855,0.002827,-0.427175,-1.562592,-0.272486,-0.655844,0.28712
